Star	R.A.	Decl_(deg)	Class	Quality	Source	T_eff	sigma_T	Logg	sigma_g	F606W	mu_(mag)	sigma_mu	
xycar0121	165.5442	-64.2957	M5III	poor	Gemini	5800	185	0.00	0.0	15.28	10.45	0.52	
xycar0123	165.5456	-64.2951	G8IV	good	SOAR	5440	133	3.76	0.5	15.60	11.58	0.19	
xycar0179	165.5647	-64.2606	A4IV	good	Gemini	8200	339	3.98	0.5	14.29	11.05	0.13	
xycar0243	165.5724	-64.2306	A6IV	good	Gemini	8212	254	3.99	0.5	16.39	12.41	0.10	
													
vxper0030	31.98145	58.42410	G0IV-V	good	Keck	5925	180	3.91	0.5	16.12	10.76	0.60	
vxper0035	32.00800	58.42643	F4V	good	Lick	6662	134	4.06	0.5	15.47	11.01	0.14	
vxper0036	31.90272	58.46210	kA6hA8mF2-	NA	Keck	7920	254	0.00	0.0	15.34	11.54	0.10	
vxper0039	31.99930	58.43603	F1IV	vgood	Keck	7275	205	3.95	0.5	15.00	10.84	0.10	
vxper0041	31.98719	58.45766	mA6V	NA	Lick	7730	248	0.00	0.0	14.61	11.39	0.12	
vxper0042	31.91492	58.43107	F9IV-V	vgood	Keck	6237	180	3.93	0.5	14.11	9.639	0.20	
vxper0043	31.92551	58.46995	G5V	vgood	Lick	5730	114	4.23	0.5	14.10	8.968	0.31	
vxper0044	31.93525	58.46506	F8III	good	Hydra	6175	156	3.42	0.6	14.43	10.10	0.76	
vxper0049	31.92722	58.43344	B1V	vgood	Keck	26100	1000	3.67	0.5	11.36	12.08	0.11	
vxper0067	31.88844	58.44349	K5I	good	Lick	4600	260	0.97	0.7	11.77	12.09	0.18	
vxpern001	31.93254	58.46487	F5V	fair	Lick	6700	116	4.05	0.5	16.49	11.77	0.10	
													
wzsgr0090	274.2439	-19.0481	G5II	fair	Keck	5230	153	2.13	0.7	15.40	12.97	0.10	
wzsgr0109	274.2284	-19.0566	K0III-IV	fair	Lick	4920	156	2.88	0.7	14.45	12.88	0.10	
wzsgr0119	274.2306	-19.0513	G9II	fair	Lick	5390	156	2.27	0.7	14.39	12.77	0.10	
wzsgr0120	274.2613	-19.0543	K4III	good	Lick	4600	188	2.42	0.7	14.04	11.62	0.11	
wzsgr0122	274.2547	-19.0919	G7IV-V	vgood	Lick	5656	133	3.88	0.5	14.75	9.446	0.37	
wzsgr0124	274.2527	-19.0568	F9V	vgood	Lick	6237	180	4.13	0.5	14.00	9.609	0.12	
wzsgr0162	274.2926	-19.0923	F8V	good	Lick	6425	156	4.10	0.5	15.55	11.40	0.13	
wzsgr0191	274.2534	-19.0908	G9V	fair	Lick	5070	156	4.39	0.5	16.36	12.08	0.10	
wzsgr0269	274.2708	-19.0476	K0III-IV	good	Lick	5340	156	3.25	0.6	13.53	11.75	0.13	
wzsgr0275	274.2674	-19.0473	NA	NA	NA	0	0	0.00	0.0	16.01	11.97	0.11	
wzsgr0306	274.2657	-19.0323	G3V	good	Lick	6026	153	4.17	0.5	16.81	11.18	0.12	
wzsgr0310	274.2623	-19.0389	F4III	fair	Lick	7347	212	3.79	0.5	15.66	11.29	0.12	
wzsgrn003	274.2803	-19.0822	NA	NA	NA	0	0	0.00	0.0	12.67	11.11	0.28	
													
svul0008	297.1140	27.30387	G6II	good	Lick	5513	133	2.38	0.7	13.81	13.01	0.10	
svul0015	297.0976	27.31197	F0V	good	Lick	7635	248	3.93	0.5	14.78	11.72	0.19	
svul0016	297.0758	27.28951	G7III	fair	Lick	5156	208	2.87	0.7	15.13	12.86	0.13	
svul0019	297.1244	27.28699	F6V	good	Lick	6550	205	4.08	0.5	15.21	11.15	0.32	
svul0020	297.1009	27.26104	K6-	good	Keck	5440	133	0.00	0.0	15.70	14.17	0.10	
svul0021	297.0982	27.27661	G1V	fair	Lick	5865	175	4.20	0.5	15.71	10.39	0.49	
svul0028	297.1217	27.28104	F2II	good	Lick	7200	205	4.03	0.5	16.08	13.03	0.10	
svul0041	297.1052	27.29179	F1V	good	Keck	7275	205	3.97	0.5	15.83	12.86	0.11	
svul0042	297.1041	27.24918	G7III-IV	good	Keck	5476	133	3.35	0.6	16.21	13.32	0.10	
svul0062	297.0741	27.31131	G9IV	good	Keck	5390	156	3.75	0.5	16.68	13.19	0.11	
svul0074	297.1284	27.28546	F5Ia	fair	Lick	7310	212	1.88	0.7	17.01	13.14	0.10	
svuln009	297.0882	27.31561	K6-	poor	Lick	5440	133	0.00	0.0	16.89	14.17	0.10	
svuln016	297.0818	27.29010	G8III	good	Lick	5440	133	3.05	0.6	15.63	13.39	0.10	
													
xpup0004	113.1950	-20.9228	B7V	fair	Keck	13500	647	3.59	0.5	12.87	12.88	0.10	
xpup0008	113.1849	-20.8820	NA	NA	NA	5440	133	0.00	0.0	14.43	13.03	0.10	
xpup0011	113.2106	-20.9232	F2V	vgood	Hydra	7200	205	3.98	0.5	14.96	11.38	0.10	
xpup0014	113.2090	-20.8689	F5V	good	Lick	6875	134	4.03	0.5	15.02	11.14	0.11	
xpup0017	113.2245	-20.9229	A0V	vgood	Hydra	9600	1000	3.75	0.5	15.04	12.11	0.15	
xpup0021	113.2240	-20.8950	F8V	vgood	Keck	6300	156	4.12	0.5	15.63	11.16	0.11	
xpup0027	113.2173	-20.8660	F7V	vgood	Lick	6350	205	4.11	0.5	0.000	11.22	0.12	
xpup0028	113.1836	-20.8876	F4V	good	Keck	7907	212	3.89	0.5	16.00	11.91	0.10	
xpup0032	113.2124	-20.8985	F9IV	good	Keck	6362	180	3.88	0.5	16.40	11.65	0.12	
xpup0036	113.2067	-20.8719	F1V	good	Keck	7125	205	3.99	0.5	16.58	12.28	0.10	
xpup0044	113.2284	-20.8957	F2IV-V	vgood	Keck	6800	205	3.96	0.5	16.90	12.19	0.12	
xpup0048	113.2042	-20.8753	G9III-IV	good	Keck	5390	156	3.28	0.6	17.00	13.66	0.10	
xpup0050	113.1978	-20.8819	G9V	good	Keck	5390	156	4.31	0.5	17.44	11.89	0.34	
xpupn000	113.2137	-20.9025	NA	NA	NA	0	0	0.00	0.0	17.33	9.881	0.28	
xpupn001	113.2109	-20.9313	NA	NA	NA	0	0	0.00	0.0	17.86	11.73	0.10	
xpupn002	113.2162	-20.9311	NA	NA	NA	0	0	0.00	0.0	17.52	9.881	0.28	
xpupn004	113.2137	-20.9025	NA	NA	NA	0	0	0.00	0.0	17.33	13.43	0.35	
													
vycar0010	161.1465	-57.5821	F2V	good	AAT	7200	205	3.98	0.5	13.69	11.11	0.23	
vycar0021	161.1578	-57.5941	A0V	vgood	Gemini	9600	1000	3.75	0.5	14.74	12.30	0.17	
vycar0029	161.0890	-57.5733	G0V	good	N/A	6175	180	4.14	0.5	15.77	11.09	0.16	
vycar0051	161.1569	-57.5693	G9IV-V	vgood	Gemini	5390	156	3.85	0.5	13.39	8.944	5.49	
vycar0060	161.1321	-57.5448	mAV4	NA	SOAR	7920	254	0.00	0.0	12.72	10.35	0.26	
vycar0077	161.1772	-57.5360	K5III-IV	vgood	N/A	4680	260	2.64	0.7	15.10	13.31	0.10	
vycar0078	161.1733	-57.5367	F1III-IV	vgood	Gemini	7275	205	4.19	0.5	14.90	11.36	0.12	
vycar0091	161.1576	-57.5454	F1III-IV	good	Gemini	7275	205	4.19	0.5	15.86	12.11	0.19	
vycar0109	161.1333	-57.5529	F0V	vgood	Gemini	7350	248	3.96	0.5	15.80	12.13	0.12	
vycar0124	161.1082	-57.5855	F4IV-V	good	Gemini	7062	134	3.97	0.5	15.40	12.72	0.12	
vycar0129	161.1388	-57.5943	kA1hA7mA9-	NA	Gemini	7920	254	0.00	0.0	14.80	12.23	0.13	
vycar0147	161.0889	-57.5815	F5IV-V	vgood	AAT	6875	134	3.97	0.5	13.46	10.26	0.43	
vycar0148	161.1004	-57.5866	NA	NA	NA	7920	254	0.00	0.0	16.98	13.18	0.10	
vycar0150	161.0962	-57.5918	A7	fair	Gemini	6300	156	0.00	0.0	16.50	11.79	0.11	
vycar0153	161.0987	-57.5874	F0	fair	Gemini	6300	156	0.00	0.0	17.26	12.51	0.12	
vycar0179	161.0943	-57.5729	K3V	good	Gemini	5120	412	4.38	0.5	16.22	9.762	0.15	
vycar0226	161.1098	-57.5324	K3III	vgood	AAT	5120	412	2.84	0.7	11.91	11.12	0.43	
vycar0231	161.1043	-57.5396	NA	NA	NA	0	0	0.00	0.0	13.41	11.63	0.20
