Xsing M_ini		log(t)_in		P_in		M_in		log(Teff_in)		log(L_in)		Yc_in		Ve_in		N/C_out		N/O_out		log(dt)_out		P_out		log(Teff_out)		log(L_out)		Yc_out		Ve_out
omega_ini = 0.
2		9.0		7.520		59.44		8.76		3.655		4.194		0.450		14.1		5.28		0.973		3.930		23.45		3.756		4.216		0.447		47.5
3		9.0		7.536		28.12		8.73		3.747		4.246		0.041		20.9		5.28		0.973		4.353		62.76		3.655		4.214		0.034		7.0
1		12.0		7.306		65.84		11.73		3.733		4.685		0.135		3.4		2.35		0.650		4.601		193.4		3.605		4.648		0.111		2.1
1		15.0		7.165		107.2		14.40		3.727		4.949		0.144		2.4		2.80		0.749		4.500		336.9		3.598		4.922		0.121		1.
omega_ini = 0.9
1		1.7		9.239		0.146		1.70		3.858		1.466		0.994		179.7		1.17		0.366		7.257		0.208		3.815		1.472		0.994		143.9
1		2.0		9.037		0.247		2.00		3.846		1.751		0.994		143.5		1.37		0.412		6.556		0.337		3.803		1.729		0.994		114.7
1		2.5		8.765		0.453		2.50		3.835		2.084		0.994		103.7		1.47		0.448		5.733		0.593		3.793		2.048		0.994		84.5
1		3.0		8.555		0.718		3.00		3.825		2.340		0.994		81.0		1.75		0.504		5.251		0.913		3.785		2.301		0.994		67.2
1		4.0		8.243		1.275		4.00		3.824		2.728		0.994		61.6		2.68		0.633		4.782		1.840		3.762		2.662		0.994		46.0
2		4.0		8.300		3.561		3.98		3.748		2.936		0.374		19.2		8.85		1.02		6.838		4.321		3.745		3.020		0.156		13.1
1		5.0		8.017		2.162		5.00		3.810		3.022		0.994		47.0		4.11		0.765		4.344		3.157		3.749		2.961		0.994		34.9
2		5.0		8.040		5.039		4.99		3.735		3.141		0.785		37.9		11.0		1.07		5.983		3.270		3.799		3.196		0.736		50.2
3		5.0		8.084		5.695		4.96		3.789		3.433		0.080		25.7		11.0		1.07		5.503		10.41		3.715		3.416		0.043		15.1
1		7.0		7.708		6.540		7.00		3.784		3.598		0.986		24.8		8.07		0.967		4.868		6.964		3.782		3.622		0.980		21.5
2		7.0		7.767		16.66		6.94		3.766		3.986		0.026		5.2		8.88		0.994		4.641		36.62		3.674		3.959		0.015		6.4
1		9.0		7.565		37.05		8.94		3.739		4.345		0.014		7.4		14.6		1.13		4.190		89.23		3.637		4.306		0.008		6.3
1		12.0		7.348		77.78		11.58		3.733		4.757		0.312		3.7		23.5		1.33		4.770		238.8		3.599		4.717		0.277		2.
